Age,Gender,Parent Occupation,Earning Class,Level of Student,Level of Course,Course Name,Time per Day (hrs),Material Level,IQ,Consistency,Health,Assessment Score,Health Description,Consistency_Num,Material_Level_Num,Student_Level_Num,Course_Level_Num
16,Male,Other,Low,Intermediate,Intermediate,History,3.6,Intermediate,119,Irregular,2,53,Poor,0,2,2,2
7,Female,Engineer,Middle,Beginner,Intermediate,Art,1.5,Advanced,80,Irregular,4,59,Good,0,3,1,2
5,Female,Other,Low,Beginner,Beginner,Geography,2.1,Beginner,74,Irregular,3,55,Average,0,1,1,1
7,Female,Unemployed,Middle,Beginner,Beginner,Art,2.3,Beginner,119,Regular,1,52,Very Poor,1,1,1,1
15,Male,Teacher,Low,Advanced,Advanced,English,5.0,Advanced,75,Irregular,4,67,Good,0,3,3,3
17,Female,Unemployed,Middle,Intermediate,Beginner,History,0.2,Beginner,123,Irregular,1,25,Very Poor,0,1,2,1
12,Female,Business Owner,Middle,Intermediate,Intermediate,History,2.8,Beginner,112,Regular,5,80,Excellent,1,1,2,2
10,Female,Artist,High,Intermediate,Intermediate,Science,0.1,Intermediate,130,Irregular,4,57,Good,0,2,2,2
8,Male,Engineer,Middle,Beginner,Beginner,Physics,1.4,Beginner,103,Irregular,1,43,Very Poor,0,1,1,1
4,Female,Engineer,High,Beginner,Beginner,English,0.4,Beginner,68,Irregular,2,40,Poor,0,1,1,1
13,Female,Farmer,Middle,Beginner,Beginner,Math,2.6,Beginner,137,Regular,2,72,Poor,1,1,1,1
5,Female,Artist,Low,Beginner,Beginner,Biology,2.5,Beginner,104,Irregular,5,78,Excellent,0,1,1,1
5,Male,Other,Middle,Beginner,Beginner,Physics,1.4,Beginner,102,Irregular,1,39,Very Poor,0,1,1,1
13,Female,Teacher,Low,Intermediate,Beginner,English,0.7,Beginner,121,Irregular,5,65,Excellent,0,1,2,1
16,Female,Farmer,Middle,Intermediate,Intermediate,English,1.3,Intermediate,90,Irregular,5,59,Excellent,0,2,2,2
11,Male,Business Owner,High,Intermediate,Intermediate,Geography,2.9,Advanced,102,Regular,1,53,Very Poor,1,3,2,2
14,Female,Artist,High,Intermediate,Intermediate,Physics,3.5,Intermediate,128,Regular,1,56,Very Poor,1,2,2,2
4,Female,Unemployed,High,Beginner,Beginner,Science,1.4,Beginner,112,Regular,4,76,Good,1,1,1,1
6,Male,Engineer,High,Beginner,Intermediate,Chemistry,1.9,Advanced,114,Irregular,1,57,Very Poor,0,3,1,2
16,Female,Artist,High,Advanced,Advanced,Science,5.4,Intermediate,115,Regular,5,97,Excellent,1,2,3,3
17,Male,Artist,High,Intermediate,Intermediate,Art,4.0,Intermediate,93,Irregular,2,57,Poor,0,2,2,2
3,Female,Artist,Middle,Beginner,Beginner,Art,2.8,Intermediate,111,Regular,5,80,Excellent,1,2,1,1
10,Male,Other,High,Intermediate,Intermediate,History,3.1,Beginner,102,Regular,2,73,Poor,1,1,2,2
5,Male,Other,High,Beginner,Beginner,English,0.6,Beginner,106,Regular,2,59,Poor,1,1,1,1
17,Female,Teacher,High,Advanced,Advanced,Art,4.1,Advanced,119,Irregular,5,99,Excellent,0,3,3,3
7,Female,Teacher,Middle,Beginner,Beginner,Math,0.9,Intermediate,90,Regular,3,62,Average,1,2,1,1
9,Female,Engineer,Middle,Intermediate,Intermediate,Geography,2.3,Beginner,108,Irregular,3,69,Average,0,1,2,2
18,Female,Engineer,High,Intermediate,Intermediate,Science,2.9,Beginner,122,Regular,1,53,Very Poor,1,1,2,2
18,Male,Teacher,High,Advanced,Advanced,Science,2.2,Advanced,82,Irregular,1,56,Very Poor,0,3,3,3
12,Female,Teacher,Low,Intermediate,Advanced,English,3.1,Intermediate,110,Regular,2,70,Poor,1,2,2,3
5,Male,Business Owner,High,Beginner,Beginner,Math,1.4,Intermediate,80,Regular,3,40,Average,1,2,1,1
13,Male,Doctor,High,Intermediate,Intermediate,Geography,0.8,Intermediate,104,Irregular,4,63,Good,0,2,2,2
14,Male,Government Employee,High,Intermediate,Intermediate,Computer Science,2.6,Intermediate,103,Irregular,4,63,Good,0,2,2,2
11,Male,Unemployed,Low,Beginner,Beginner,English,2.2,Intermediate,112,Regular,3,66,Average,1,2,1,1
8,Male,Engineer,High,Intermediate,Advanced,Biology,4.2,Intermediate,75,Regular,5,75,Excellent,1,2,2,3
13,Female,Farmer,High,Beginner,Intermediate,Geography,2.3,Intermediate,86,Regular,1,56,Very Poor,1,2,1,2
4,Male,Teacher,Low,Beginner,Beginner,History,2.4,Intermediate,92,Regular,2,48,Poor,1,2,1,1
18,Female,Unemployed,High,Advanced,Advanced,Science,3.3,Advanced,78,Regular,2,55,Poor,1,3,3,3
8,Male,Other,Middle,Intermediate,Intermediate,Art,1.8,Intermediate,99,Irregular,2,47,Poor,0,2,2,2
17,Female,Doctor,High,Intermediate,Intermediate,Geography,3.0,Intermediate,78,Regular,1,60,Very Poor,1,2,2,2
4,Male,Unemployed,Low,Beginner,Beginner,Physics,2.1,Beginner,108,Regular,5,77,Excellent,1,1,1,1
6,Male,Government Employee,High,Beginner,Beginner,Physics,2.1,Beginner,91,Regular,1,38,Very Poor,1,1,1,1
11,Male,Doctor,Low,Beginner,Beginner,Art,2.4,Intermediate,82,Regular,4,58,Good,1,2,1,1
13,Female,Engineer,Low,Intermediate,Beginner,Physics,0.8,Beginner,81,Irregular,1,29,Very Poor,0,1,2,1
15,Male,Other,High,Advanced,Advanced,Art,2.1,Advanced,76,Irregular,5,68,Excellent,0,3,3,3
13,Male,Business Owner,Middle,Beginner,Beginner,Science,0.1,Beginner,133,Irregular,1,43,Very Poor,0,1,1,1
16,Male,Engineer,High,Advanced,Advanced,Geography,2.2,Intermediate,135,Regular,1,76,Very Poor,1,2,3,3
6,Male,Artist,Middle,Beginner,Beginner,Computer Science,1.6,Beginner,118,Irregular,4,73,Good,0,1,1,1
8,Male,Farmer,High,Beginner,Beginner,Computer Science,1.0,Beginner,118,Irregular,5,73,Excellent,0,1,1,1
16,Male,Doctor,Middle,Intermediate,Intermediate,History,2.6,Beginner,136,Regular,5,89,Excellent,1,1,2,2
3,Male,Engineer,Middle,Beginner,Beginner,Physics,2.9,Beginner,110,Regular,4,76,Good,1,1,1,1
13,Female,Unemployed,High,Beginner,Beginner,Chemistry,2.2,Intermediate,105,Irregular,2,75,Poor,0,2,1,1
8,Male,Engineer,High,Beginner,Beginner,Math,2.1,Beginner,89,Irregular,2,49,Poor,0,1,1,1
3,Female,Farmer,High,Beginner,Beginner,Biology,1.1,Beginner,82,Irregular,4,59,Good,0,1,1,1
9,Male,Doctor,Low,Beginner,Beginner,Geography,1.8,Beginner,135,Irregular,1,37,Very Poor,0,1,1,1
3,Male,Teacher,Middle,Beginner,Beginner,Computer Science,2.0,Beginner,112,Irregular,1,56,Very Poor,0,1,1,1
18,Female,Artist,High,Advanced,Intermediate,Computer Science,3.6,Beginner,102,Irregular,3,69,Average,0,1,3,2
6,Male,Engineer,High,Beginner,Intermediate,Science,1.9,Beginner,100,Irregular,5,69,Excellent,0,1,1,2
3,Female,Doctor,High,Beginner,Intermediate,History,0.9,Intermediate,107,Regular,3,66,Average,1,2,1,2
17,Male,Engineer,Low,Intermediate,Advanced,History,1.1,Advanced,72,Regular,2,50,Poor,1,3,2,3
18,Male,Government Employee,Low,Intermediate,Intermediate,Computer Science,2.2,Intermediate,116,Irregular,2,74,Poor,0,2,2,2
18,Female,Farmer,Middle,Intermediate,Advanced,Science,4.3,Intermediate,81,Irregular,4,78,Good,0,2,2,3
3,Female,Government Employee,High,Beginner,Beginner,Biology,1.2,Beginner,109,Irregular,5,76,Excellent,0,1,1,1
12,Male,Artist,High,Beginner,Beginner,Chemistry,1.5,Beginner,98,Irregular,2,56,Poor,0,1,1,1
11,Male,Artist,Middle,Intermediate,Intermediate,Science,4.4,Intermediate,115,Regular,2,72,Poor,1,2,2,2
5,Male,Other,High,Beginner,Beginner,English,2.7,Beginner,82,Regular,1,46,Very Poor,1,1,1,1
12,Male,Engineer,Middle,Intermediate,Intermediate,Physics,3.8,Advanced,105,Regular,1,50,Very Poor,1,3,2,2
7,Female,Farmer,High,Beginner,Intermediate,History,1.5,Advanced,91,Regular,2,43,Poor,1,3,1,2
18,Female,Farmer,High,Advanced,Advanced,Art,6.0,Advanced,127,Irregular,4,96,Good,0,3,3,3
16,Female,Engineer,Middle,Advanced,Intermediate,Chemistry,1.5,Advanced,120,Irregular,4,73,Good,0,3,3,2
13,Male,Business Owner,Low,Beginner,Beginner,Science,0.6,Beginner,67,Irregular,2,27,Poor,0,1,1,1
4,Female,Business Owner,Middle,Beginner,Intermediate,Science,3.5,Beginner,78,Irregular,5,64,Excellent,0,1,1,2
12,Male,Government Employee,Low,Intermediate,Intermediate,Physics,1.7,Intermediate,132,Irregular,4,91,Good,0,2,2,2
11,Male,Doctor,Middle,Beginner,Beginner,Biology,1.2,Beginner,99,Regular,4,75,Good,1,1,1,1
10,Male,Government Employee,High,Intermediate,Intermediate,Physics,1.3,Intermediate,72,Regular,4,66,Good,1,2,2,2
12,Female,Farmer,Middle,Intermediate,Advanced,History,6.3,Advanced,114,Irregular,3,77,Average,0,3,2,3
7,Male,Government Employee,High,Beginner,Beginner,Computer Science,2.0,Beginner,87,Irregular,5,64,Excellent,0,1,1,1
18,Female,Business Owner,High,Advanced,Advanced,English,4.1,Advanced,89,Irregular,4,74,Good,0,3,3,3
10,Male,Government Employee,Low,Beginner,Beginner,Physics,1.3,Beginner,135,Irregular,4,74,Good,0,1,1,1
10,Female,Unemployed,Middle,Beginner,Beginner,Physics,1.7,Beginner,110,Regular,5,61,Excellent,1,1,1,1
5,Male,Engineer,Middle,Beginner,Intermediate,English,2.1,Advanced,127,Regular,1,52,Very Poor,1,3,1,2
6,Male,Farmer,High,Beginner,Beginner,Science,2.0,Beginner,125,Irregular,2,54,Poor,0,1,1,1
15,Male,Government Employee,Low,Intermediate,Advanced,Chemistry,2.1,Advanced,101,Regular,2,66,Poor,1,3,2,3
16,Female,Artist,High,Advanced,Intermediate,Art,3.7,Intermediate,128,Regular,5,100,Excellent,1,2,3,2
13,Male,Engineer,Middle,Intermediate,Advanced,English,3.2,Advanced,116,Regular,5,100,Excellent,1,3,2,3
16,Male,Doctor,High,Advanced,Advanced,Physics,4.1,Advanced,125,Regular,4,100,Good,1,3,3,3
5,Male,Engineer,Low,Beginner,Beginner,Physics,0.7,Beginner,138,Regular,2,58,Poor,1,1,1,1
7,Male,Artist,Low,Beginner,Intermediate,Science,2.4,Intermediate,123,Regular,5,92,Excellent,1,2,1,2
6,Female,Artist,Low,Beginner,Beginner,Geography,1.9,Intermediate,118,Regular,2,46,Poor,1,2,1,1
13,Female,Business Owner,Middle,Beginner,Beginner,Chemistry,2.1,Beginner,85,Regular,2,61,Poor,1,1,1,1
9,Female,Farmer,Middle,Beginner,Beginner,Chemistry,1.8,Beginner,90,Regular,4,58,Good,1,1,1,1
3,Male,Doctor,Middle,Beginner,Beginner,English,0.7,Beginner,103,Regular,1,40,Very Poor,1,1,1,1
4,Male,Farmer,Low,Beginner,Intermediate,Computer Science,2.6,Advanced,95,Irregular,5,75,Excellent,0,3,1,2
10,Male,Doctor,Low,Beginner,Beginner,Chemistry,0.9,Beginner,111,Regular,5,70,Excellent,1,1,1,1
4,Female,Teacher,Low,Beginner,Beginner,Physics,1.4,Beginner,78,Irregular,2,32,Poor,0,1,1,1
8,Female,Other,High,Intermediate,Beginner,Computer Science,1.2,Beginner,99,Regular,2,53,Poor,1,1,2,1
11,Female,Farmer,Low,Intermediate,Advanced,Science,4.4,Advanced,117,Regular,2,91,Poor,1,3,2,3
3,Male,Government Employee,Low,Beginner,Beginner,Computer Science,1.8,Beginner,113,Irregular,3,64,Average,0,1,1,1
14,Female,Artist,Middle,Intermediate,Beginner,Art,1.4,Beginner,94,Irregular,3,61,Average,0,1,2,1
11,Female,Government Employee,Low,Beginner,Beginner,English,0.2,Beginner,79,Regular,2,26,Poor,1,1,1,1
4,Male,Government Employee,High,Beginner,Intermediate,Chemistry,3.0,Beginner,127,Regular,4,69,Good,1,1,1,2
11,Female,Business Owner,High,Beginner,Beginner,Geography,0.5,Intermediate,103,Irregular,2,38,Poor,0,2,1,1
13,Male,Government Employee,Low,Intermediate,Intermediate,Biology,2.3,Advanced,119,Irregular,1,61,Very Poor,0,3,2,2
14,Female,Artist,Middle,Intermediate,Intermediate,Math,1.2,Intermediate,134,Regular,3,72,Average,1,2,2,2
18,Male,Farmer,Low,Advanced,Intermediate,History,3.8,Advanced,74,Irregular,2,36,Poor,0,3,3,2
9,Male,Engineer,Low,Beginner,Beginner,English,1.6,Beginner,92,Regular,3,54,Average,1,1,1,1
16,Male,Other,High,Advanced,Advanced,History,1.6,Intermediate,68,Regular,2,65,Poor,1,2,3,3
3,Male,Government Employee,Middle,Beginner,Beginner,English,2.0,Intermediate,114,Regular,4,65,Good,1,2,1,1
8,Female,Other,High,Beginner,Beginner,Biology,0.1,Beginner,132,Irregular,1,36,Very Poor,0,1,1,1
12,Female,Artist,High,Beginner,Beginner,History,1.1,Beginner,130,Irregular,3,55,Average,0,1,1,1
10,Female,Unemployed,Low,Intermediate,Advanced,Computer Science,2.8,Advanced,69,Regular,4,75,Good,1,3,2,3
15,Male,Business Owner,Low,Intermediate,Intermediate,English,4.5,Advanced,127,Irregular,1,66,Very Poor,0,3,2,2
3,Male,Artist,Low,Beginner,Beginner,Physics,1.3,Beginner,76,Regular,3,45,Average,1,1,1,1
9,Male,Teacher,Middle,Intermediate,Beginner,Physics,2.4,Beginner,86,Irregular,3,60,Average,0,1,2,1
9,Male,Unemployed,High,Intermediate,Beginner,Computer Science,0.9,Beginner,101,Regular,1,35,Very Poor,1,1,2,1
13,Male,Doctor,Middle,Beginner,Intermediate,Computer Science,2.2,Intermediate,120,Regular,5,81,Excellent,1,2,1,2
7,Male,Unemployed,Low,Beginner,Beginner,Computer Science,3.1,Beginner,121,Irregular,5,84,Excellent,0,1,1,1
16,Female,Unemployed,High,Intermediate,Advanced,History,3.1,Advanced,117,Regular,4,80,Good,1,3,2,3
8,Female,Other,High,Beginner,Beginner,Physics,2.6,Intermediate,97,Irregular,2,43,Poor,0,2,1,1
5,Female,Teacher,Middle,Beginner,Beginner,Science,0.1,Beginner,80,Irregular,4,61,Good,0,1,1,1
18,Female,Teacher,Low,Advanced,Intermediate,English,4.0,Intermediate,84,Irregular,1,59,Very Poor,0,2,3,2
18,Male,Other,Low,Advanced,Advanced,Chemistry,4.7,Advanced,80,Regular,4,77,Good,1,3,3,3
10,Male,Other,Low,Intermediate,Intermediate,Chemistry,2.0,Beginner,96,Regular,4,78,Good,1,1,2,2
18,Female,Doctor,Low,Advanced,Advanced,History,6.2,Advanced,74,Irregular,1,52,Very Poor,0,3,3,3
6,Female,Farmer,Middle,Beginner,Beginner,Science,2.0,Beginner,122,Regular,1,47,Very Poor,1,1,1,1
7,Male,Unemployed,Low,Beginner,Beginner,Physics,2.0,Beginner,110,Irregular,2,54,Poor,0,1,1,1
11,Male,Business Owner,Low,Beginner,Beginner,Science,2.2,Beginner,106,Irregular,5,87,Excellent,0,1,1,1
13,Male,Engineer,High,Beginner,Intermediate,English,3.1,Intermediate,90,Regular,5,75,Excellent,1,2,1,2
7,Male,Engineer,High,Beginner,Beginner,Chemistry,1.6,Beginner,139,Irregular,3,68,Average,0,1,1,1
7,Male,Business Owner,Low,Beginner,Beginner,Biology,1.5,Beginner,99,Regular,1,37,Very Poor,1,1,1,1
5,Female,Business Owner,Middle,Beginner,Beginner,Geography,2.0,Beginner,115,Regular,5,80,Excellent,1,1,1,1
14,Male,Farmer,Middle,Advanced,Advanced,Art,2.0,Advanced,80,Regular,5,81,Excellent,1,3,3,3
5,Female,Other,Middle,Beginner,Beginner,History,1.3,Intermediate,83,Regular,4,58,Good,1,2,1,1
3,Male,Unemployed,High,Beginner,Intermediate,English,3.8,Intermediate,100,Irregular,3,71,Average,0,2,1,2
10,Female,Teacher,High,Beginner,Intermediate,Computer Science,2.2,Advanced,135,Irregular,4,81,Good,0,3,1,2
12,Female,Artist,Middle,Intermediate,Intermediate,Physics,3.3,Beginner,100,Irregular,2,57,Poor,0,1,2,2
4,Male,Government Employee,High,Beginner,Beginner,Physics,0.5,Beginner,72,Irregular,1,21,Very Poor,0,1,1,1
7,Female,Other,High,Beginner,Beginner,Science,2.6,Beginner,101,Irregular,2,52,Poor,0,1,1,1
7,Male,Business Owner,Low,Beginner,Beginner,Geography,2.5,Beginner,124,Regular,3,84,Average,1,1,1,1
5,Female,Unemployed,Middle,Beginner,Intermediate,Art,3.1,Advanced,135,Irregular,3,75,Average,0,3,1,2
10,Male,Engineer,High,Intermediate,Intermediate,History,1.0,Beginner,134,Irregular,2,72,Poor,0,1,2,2
16,Male,Business Owner,Low,Intermediate,Beginner,Science,1.3,Intermediate,108,Irregular,5,64,Excellent,0,2,2,1
5,Male,Engineer,Middle,Beginner,Beginner,Math,1.4,Beginner,82,Regular,3,64,Average,1,1,1,1
10,Male,Teacher,Middle,Intermediate,Intermediate,Art,1.6,Intermediate,114,Regular,2,60,Poor,1,2,2,2
12,Male,Artist,Middle,Beginner,Beginner,Art,1.7,Beginner,96,Irregular,5,60,Excellent,0,1,1,1
14,Male,Farmer,Middle,Advanced,Intermediate,Biology,1.9,Beginner,122,Irregular,2,56,Poor,0,1,3,2
3,Female,Engineer,Low,Beginner,Beginner,Geography,2.1,Beginner,87,Regular,3,54,Average,1,1,1,1
8,Female,Doctor,Middle,Intermediate,Intermediate,Geography,1.3,Intermediate,94,Regular,2,41,Poor,1,2,2,2
14,Male,Engineer,Low,Intermediate,Intermediate,Geography,3.3,Intermediate,107,Regular,5,92,Excellent,1,2,2,2
16,Male,Business Owner,High,Intermediate,Intermediate,Physics,0.3,Beginner,93,Regular,1,31,Very Poor,1,1,2,2
3,Female,Government Employee,Low,Beginner,Beginner,Science,1.1,Beginner,122,Regular,5,65,Excellent,1,1,1,1
4,Male,Business Owner,Low,Beginner,Beginner,Geography,2.3,Intermediate,109,Irregular,2,47,Poor,0,2,1,1
5,Female,Other,Middle,Beginner,Beginner,Biology,0.9,Intermediate,138,Irregular,2,56,Poor,0,2,1,1
5,Male,Farmer,Middle,Beginner,Intermediate,Math,2.8,Advanced,67,Regular,3,56,Average,1,3,1,2
7,Female,Other,High,Beginner,Intermediate,Computer Science,3.3,Intermediate,101,Irregular,2,65,Poor,0,2,1,2
5,Female,Doctor,High,Beginner,Beginner,Chemistry,1.6,Beginner,97,Irregular,5,62,Excellent,0,1,1,1
13,Female,Government Employee,High,Intermediate,Intermediate,Geography,2.7,Intermediate,100,Irregular,2,56,Poor,0,2,2,2
17,Male,Doctor,Low,Intermediate,Intermediate,Chemistry,0.9,Intermediate,90,Irregular,5,68,Excellent,0,2,2,2
3,Male,Farmer,Low,Beginner,Intermediate,Computer Science,2.4,Beginner,130,Irregular,5,84,Excellent,0,1,1,2
10,Female,Farmer,Low,Beginner,Beginner,Science,2.4,Beginner,124,Regular,5,81,Excellent,1,1,1,1
7,Female,Artist,Low,Beginner,Beginner,Geography,1.4,Intermediate,83,Irregular,1,21,Very Poor,0,2,1,1
9,Female,Engineer,Middle,Beginner,Beginner,Art,2.1,Beginner,89,Regular,5,76,Excellent,1,1,1,1
6,Male,Teacher,Low,Beginner,Beginner,Science,1.2,Beginner,123,Regular,1,37,Very Poor,1,1,1,1
12,Male,Artist,Low,Intermediate,Intermediate,Science,3.5,Beginner,111,Irregular,1,45,Very Poor,0,1,2,2
7,Male,Government Employee,High,Beginner,Beginner,Physics,1.2,Beginner,110,Regular,3,63,Average,1,1,1,1
15,Female,Government Employee,High,Advanced,Intermediate,Geography,1.5,Advanced,133,Irregular,3,70,Average,0,3,3,2
3,Female,Artist,Middle,Beginner,Beginner,Geography,3.5,Beginner,89,Regular,1,49,Very Poor,1,1,1,1
17,Female,Unemployed,Low,Intermediate,Intermediate,Math,1.8,Beginner,85,Irregular,4,70,Good,0,1,2,2
9,Male,Artist,High,Beginner,Beginner,Physics,1.7,Beginner,82,Irregular,3,54,Average,0,1,1,1
10,Female,Farmer,Low,Beginner,Beginner,Computer Science,2.7,Beginner,81,Regular,2,52,Poor,1,1,1,1
16,Male,Unemployed,Middle,Intermediate,Intermediate,Math,1.5,Intermediate,134,Irregular,4,62,Good,0,2,2,2
15,Male,Doctor,Low,Advanced,Advanced,Math,3.0,Advanced,73,Regular,1,49,Very Poor,1,3,3,3
8,Male,Doctor,Low,Beginner,Beginner,History,2.8,Intermediate,84,Regular,1,42,Very Poor,1,2,1,1
5,Female,Business Owner,High,Beginner,Intermediate,History,1.3,Intermediate,79,Irregular,5,65,Excellent,0,2,1,2
3,Male,Teacher,Middle,Beginner,Intermediate,History,0.7,Advanced,98,Regular,4,71,Good,1,3,1,2
11,Female,Other,Middle,Intermediate,Intermediate,Art,2.7,Intermediate,130,Regular,5,86,Excellent,1,2,2,2
17,Male,Doctor,High,Advanced,Advanced,Geography,1.4,Advanced,109,Irregular,1,45,Very Poor,0,3,3,3
6,Female,Business Owner,Middle,Beginner,Intermediate,Art,3.0,Intermediate,94,Irregular,2,63,Poor,0,2,1,2
14,Male,Farmer,Low,Intermediate,Advanced,History,4.9,Advanced,130,Irregular,4,84,Good,0,3,2,3
9,Female,Doctor,Middle,Intermediate,Intermediate,Geography,1.5,Intermediate,115,Irregular,2,51,Poor,0,2,2,2
3,Female,Business Owner,Middle,Beginner,Beginner,Art,1.2,Beginner,101,Regular,5,69,Excellent,1,1,1,1
12,Male,Engineer,Middle,Intermediate,Intermediate,Biology,4.1,Intermediate,81,Regular,5,86,Excellent,1,2,2,2
15,Male,Doctor,Middle,Advanced,Intermediate,History,2.8,Intermediate,76,Irregular,3,79,Average,0,2,3,2
16,Male,Business Owner,High,Intermediate,Intermediate,Computer Science,2.2,Intermediate,119,Irregular,1,52,Very Poor,0,2,2,2
11,Male,Doctor,High,Intermediate,Intermediate,Chemistry,2.2,Beginner,129,Regular,2,57,Poor,1,1,2,2
14,Female,Business Owner,High,Advanced,Advanced,Chemistry,1.1,Advanced,101,Irregular,2,62,Poor,0,3,3,3
13,Male,Doctor,Low,Beginner,Beginner,Chemistry,0.3,Beginner,86,Irregular,5,64,Excellent,0,1,1,1
18,Male,Government Employee,High,Intermediate,Intermediate,Geography,1.1,Intermediate,99,Regular,3,61,Average,1,2,2,2
5,Female,Government Employee,High,Beginner,Beginner,English,0.7,Beginner,134,Irregular,1,32,Very Poor,0,1,1,1
12,Female,Teacher,Low,Beginner,Beginner,Physics,2.6,Intermediate,134,Irregular,4,76,Good,0,2,1,1
13,Female,Other,Low,Intermediate,Intermediate,Geography,3.0,Advanced,118,Regular,2,77,Poor,1,3,2,2
15,Female,Engineer,Middle,Advanced,Advanced,Math,3.4,Advanced,136,Regular,5,97,Excellent,1,3,3,3
5,Male,Government Employee,Middle,Beginner,Beginner,Biology,0.8,Beginner,131,Regular,5,72,Excellent,1,1,1,1
16,Male,Teacher,Low,Advanced,Advanced,History,4.5,Advanced,109,Irregular,4,86,Good,0,3,3,3
16,Male,Doctor,Middle,Intermediate,Advanced,Computer Science,1.8,Advanced,99,Regular,2,61,Poor,1,3,2,3
3,Female,Artist,Middle,Beginner,Beginner,Chemistry,1.1,Intermediate,92,Regular,1,36,Very Poor,1,2,1,1
7,Male,Government Employee,Low,Beginner,Intermediate,Geography,1.7,Intermediate,132,Irregular,3,76,Average,0,2,1,2
8,Male,Business Owner,High,Intermediate,Advanced,Geography,2.4,Advanced,89,Irregular,5,77,Excellent,0,3,2,3
7,Female,Government Employee,Low,Beginner,Intermediate,Art,1.8,Advanced,112,Regular,2,48,Poor,1,3,1,2
5,Male,Doctor,Low,Beginner,Beginner,English,1.0,Beginner,83,Irregular,2,44,Poor,0,1,1,1
15,Female,Farmer,Middle,Intermediate,Beginner,History,1.2,Beginner,107,Regular,2,56,Poor,1,1,2,1
6,Female,Engineer,High,Beginner,Intermediate,Art,3.9,Advanced,94,Irregular,1,48,Very Poor,0,3,1,2
17,Male,Unemployed,Low,Intermediate,Intermediate,Math,1.4,Beginner,134,Regular,3,87,Average,1,1,2,2
13,Female,Artist,Low,Beginner,Intermediate,Geography,1.0,Beginner,75,Irregular,2,45,Poor,0,1,1,2
5,Female,Business Owner,Middle,Beginner,Beginner,Math,2.0,Beginner,85,Regular,5,61,Excellent,1,1,1,1
6,Female,Farmer,High,Beginner,Beginner,Biology,0.5,Beginner,122,Regular,1,45,Very Poor,1,1,1,1
8,Female,Farmer,Middle,Beginner,Beginner,History,0.9,Intermediate,99,Irregular,4,61,Good,0,2,1,1
13,Female,Other,Middle,Beginner,Beginner,Art,1.4,Beginner,106,Regular,4,64,Good,1,1,1,1
6,Male,Engineer,High,Beginner,Beginner,Physics,0.8,Beginner,104,Irregular,2,54,Poor,0,1,1,1
7,Female,Engineer,Low,Beginner,Beginner,Biology,2.4,Beginner,88,Regular,4,70,Good,1,1,1,1
7,Male,Government Employee,Low,Beginner,Beginner,Physics,1.5,Beginner,126,Regular,4,73,Good,1,1,1,1
10,Female,Doctor,Middle,Beginner,Beginner,Physics,1.6,Beginner,137,Regular,4,74,Good,1,1,1,1
4,Female,Teacher,Middle,Beginner,Beginner,Art,1.6,Beginner,80,Regular,3,40,Average,1,1,1,1
4,Female,Government Employee,Middle,Beginner,Intermediate,History,2.8,Advanced,117,Irregular,4,65,Good,0,3,1,2
5,Male,Business Owner,Low,Beginner,Intermediate,Geography,1.7,Advanced,108,Regular,1,46,Very Poor,1,3,1,2
16,Male,Doctor,High,Intermediate,Beginner,Science,2.8,Beginner,113,Regular,2,57,Poor,1,1,2,1
