Age,IQ,Time per Day (hrs),Assessment Score,Level of Student,Level of Course,Course Name,Consistency,Consistency_Num,Student_Level_Num,Course_Level_Num,Present Material Level,Relative Performance,Material Level,Present_Material_Level_Num,Material_Level_Num
12,106.11931740570145,0.8079642464016354,66,Beginner,Intermediate,Math,Regular,1,1,2,Intermediate,21,Advanced,2,3
18,113.1207135559754,3.4521174444395064,56,Beginner,Beginner,Science,Regular,1,1,1,Beginner,26,Advanced,1,3
11,91.73023886069764,1.273868043197682,91,Advanced,Intermediate,Math,Irregular,0,3,2,Advanced,16,Advanced,3,3
15,95.51577020174153,0.2788161720106137,60,Intermediate,Intermediate,English,Irregular,0,2,2,Intermediate,0,Beginner,2,1
12,99.55653332934185,0.7514923752751246,48,Intermediate,Advanced,Math,Regular,1,2,3,Beginner,-27,Beginner,1,1
14,104.38762816074976,2.772574652585492,71,Beginner,Beginner,Science,Irregular,0,1,1,Beginner,41,Advanced,1,3
12,96.48058376564512,0.07265056552086807,45,Intermediate,Advanced,History,Irregular,0,2,3,Intermediate,-30,Beginner,2,1
15,102.85338015488945,2.436619898029512,44,Intermediate,Advanced,History,Irregular,0,2,3,Intermediate,-31,Beginner,2,1
10,92.26398846506993,0.776136210471021,87,Beginner,Advanced,English,Irregular,0,1,3,Beginner,27,Advanced,1,3
13,93.69106637472977,0.5979588056443107,95,Intermediate,Intermediate,Math,Regular,1,2,2,Beginner,35,Advanced,1,3
10,101.4721451157407,2.0176161776249577,64,Intermediate,Intermediate,History,Irregular,0,2,2,Beginner,4,Beginner,1,1
10,129.49191744309553,0.3238226637058807,66,Intermediate,Advanced,English,Irregular,0,2,3,Beginner,-9,Beginner,1,1
12,73.56630452196397,1.43486848678475,86,Intermediate,Beginner,Math,Irregular,0,2,1,Intermediate,41,Advanced,2,3
10,117.19966488543132,0.12556913399912908,90,Intermediate,Advanced,Science,Regular,1,2,3,Intermediate,15,Advanced,2,3
11,109.89226462517632,1.3917009970427259,84,Beginner,Advanced,Math,Irregular,0,1,3,Beginner,24,Advanced,1,3
16,102.94728106683955,1.7501031789847332,99,Beginner,Beginner,English,Irregular,0,1,1,Beginner,69,Advanced,1,3
18,65.87352983194806,1.31837733025256,63,Intermediate,Intermediate,Science,Regular,1,2,2,Beginner,3,Beginner,1,1
11,114.3322191878525,0.5869116926952745,56,Advanced,Beginner,Math,Irregular,0,3,1,Advanced,-4,Advanced,3,3
14,84.35584938274849,1.2102474346780183,70,Beginner,Intermediate,Science,Regular,1,1,2,Beginner,25,Advanced,1,3
13,122.22694623721056,1.208896511685185,62,Intermediate,Intermediate,History,Regular,1,2,2,Beginner,2,Intermediate,1,2
16,124.87293985768292,0.6691893206829709,59,Intermediate,Advanced,Science,Irregular,0,2,3,Advanced,-16,Intermediate,3,2
13,90.60068717822857,0.2957081598791743,84,Intermediate,Advanced,History,Irregular,0,2,3,Advanced,9,Beginner,3,1
8,109.97600024463473,0.07591613272791053,52,Advanced,Intermediate,Math,Irregular,0,3,2,Advanced,-23,Beginner,3,1
11,90.47716326276198,0.2168965858388747,58,Intermediate,Intermediate,History,Irregular,0,2,2,Intermediate,-2,Beginner,2,1
7,93.63286668812316,0.08477417805521442,40,Advanced,Advanced,Science,Regular,1,3,3,Intermediate,-50,Beginner,2,1
11,126.68055233558803,2.219018251301298,69,Intermediate,Beginner,English,Irregular,0,2,1,Intermediate,24,Advanced,2,3
11,108.77420040010685,0.7834593019567166,61,Advanced,Beginner,History,Irregular,0,3,1,Advanced,1,Beginner,3,1
13,96.40636698015312,2.088494211789695,49,Advanced,Intermediate,English,Irregular,0,3,2,Advanced,-26,Beginner,3,1
10,88.84803290373812,0.1467684139318083,98,Advanced,Advanced,Science,Irregular,0,3,3,Advanced,8,Intermediate,3,2
11,91.45902403521879,1.7474808251924574,71,Advanced,Beginner,English,Irregular,0,3,1,Advanced,11,Advanced,3,3
16,65.0584977033027,2.1178232143397597,81,Beginner,Beginner,Science,Regular,1,1,1,Beginner,51,Advanced,1,3
18,105.0346230601639,3.553253382102576,95,Intermediate,Intermediate,History,Regular,1,2,2,Intermediate,35,Advanced,2,3
13,116.24609208295783,4.034124850614294,62,Advanced,Advanced,History,Irregular,0,3,3,Advanced,-28,Intermediate,3,2
12,83.69691636996018,5.601372540165468,80,Intermediate,Advanced,Math,Regular,1,2,3,Intermediate,5,Advanced,2,3
10,104.38222461677249,0.22543828237799318,77,Intermediate,Advanced,English,Regular,1,2,3,Beginner,2,Beginner,1,1
13,122.22046235180535,0.14216629024082683,41,Intermediate,Intermediate,English,Irregular,0,2,2,Intermediate,-19,Beginner,2,1
7,122.30065516258246,2.661780692770624,80,Advanced,Intermediate,History,Irregular,0,3,2,Advanced,5,Advanced,3,3
11,85.93741652282215,4.25280982410103,78,Beginner,Advanced,History,Regular,1,1,3,Beginner,18,Advanced,1,3
12,99.22202135202001,0.6181845867204556,49,Beginner,Advanced,History,Regular,1,1,3,Beginner,-11,Beginner,1,1
15,83.84678500278345,0.2576521779266102,90,Beginner,Beginner,English,Irregular,0,1,1,Intermediate,60,Advanced,2,3
13,110.51960513671673,3.2294524755906258,78,Intermediate,Beginner,Science,Irregular,0,2,1,Intermediate,33,Advanced,2,3
9,122.92274914177104,2.0060699781227003,78,Advanced,Beginner,History,Irregular,0,3,1,Advanced,18,Advanced,3,3
13,133.61721995982646,0.27519259923128064,87,Intermediate,Beginner,History,Irregular,0,2,1,Intermediate,42,Advanced,2,3
10,92.63327235267884,0.12626890097883603,60,Beginner,Beginner,English,Regular,1,1,1,Beginner,30,Advanced,1,3
14,89.09618612055893,3.6390690921019555,52,Intermediate,Advanced,Math,Irregular,0,2,3,Intermediate,-23,Advanced,2,3
13,85.18839241686753,2.7024204461714345,83,Beginner,Intermediate,History,Regular,1,1,2,Beginner,38,Advanced,1,3
11,102.46840496659729,2.023017709648542,69,Beginner,Beginner,Science,Irregular,0,1,1,Beginner,39,Advanced,1,3
9,119.28248199110033,1.2790405306580144,94,Beginner,Intermediate,Science,Regular,1,1,2,Beginner,49,Advanced,1,3
15,98.45375292667771,0.40034489661810296,63,Advanced,Beginner,Science,Irregular,0,3,1,Advanced,3,Intermediate,3,2
17,92.18493722435777,2.178315149774707,40,Intermediate,Intermediate,English,Irregular,0,2,2,Intermediate,-20,Beginner,2,1
13,99.58521536886052,1.7873735980072496,91,Beginner,Intermediate,Science,Irregular,0,1,2,Beginner,46,Advanced,1,3
11,103.83609548540295,0.151602570544089,56,Beginner,Intermediate,Math,Regular,1,1,2,Beginner,11,Advanced,1,3
9,90.93665121917982,0.056524427494131516,40,Beginner,Beginner,Science,Regular,1,1,1,Beginner,10,Beginner,1,1
10,144.4482976648381,1.2218277461958995,68,Beginner,Beginner,English,Irregular,0,1,1,Intermediate,38,Advanced,2,3
11,100.95806778609523,2.3204117316781967,43,Beginner,Beginner,History,Irregular,0,1,1,Beginner,13,Intermediate,1,2
8,85.6091019124317,2.5338392121882034,53,Beginner,Intermediate,Math,Irregular,0,1,2,Beginner,8,Advanced,1,3
12,123.67369759353353,0.35551742562726235,83,Beginner,Advanced,English,Irregular,0,1,3,Beginner,23,Advanced,1,3
14,128.43153625462463,0.938149629847859,92,Intermediate,Advanced,History,Regular,1,2,3,Advanced,17,Advanced,3,3
11,100.78098557129032,1.5191426213553192,81,Intermediate,Intermediate,Science,Regular,1,2,2,Intermediate,21,Advanced,2,3
8,110.86761554058796,0.02107651960201447,82,Beginner,Intermediate,History,Regular,1,1,2,Beginner,37,Advanced,1,3
13,105.1082098756892,0.29604613491706033,45,Intermediate,Beginner,Science,Regular,1,2,1,Beginner,0,Beginner,1,1
13,124.0034428695458,2.208402655420074,71,Intermediate,Intermediate,History,Irregular,0,2,2,Advanced,11,Advanced,3,3
15,78.9657528283272,6.655609943886622,46,Beginner,Advanced,Math,Irregular,0,1,3,Beginner,-14,Advanced,1,3
10,89.16064692483707,1.4897107780685634,95,Intermediate,Beginner,Science,Irregular,0,2,1,Beginner,50,Advanced,1,3
12,118.22337075627081,3.301211436902697,93,Advanced,Advanced,Math,Regular,1,3,3,Advanced,3,Advanced,3,3
16,104.15921472038505,0.6582945677044609,51,Advanced,Intermediate,Science,Regular,1,3,2,Advanced,-24,Beginner,3,1
16,77.70884343513582,0.3024990711253932,63,Beginner,Beginner,Science,Regular,1,1,1,Beginner,33,Advanced,1,3
10,81.0502751280736,1.1612260404545376,71,Intermediate,Intermediate,English,Irregular,0,2,2,Advanced,11,Advanced,3,3
9,108.6151983478867,1.6815696226459105,42,Intermediate,Intermediate,English,Regular,1,2,2,Advanced,-18,Advanced,3,3
18,95.54295169975822,2.5445025650483455,68,Advanced,Beginner,Science,Irregular,0,3,1,Advanced,8,Advanced,3,3
17,130.2375915097711,1.7423293731488052,41,Intermediate,Advanced,History,Irregular,0,2,3,Intermediate,-34,Beginner,2,1
11,120.3900188730665,1.4398227726716561,50,Intermediate,Beginner,History,Regular,1,2,1,Advanced,5,Advanced,3,3
14,112.42357219762437,2.649673326511111,76,Intermediate,Beginner,History,Regular,1,2,1,Intermediate,31,Advanced,2,3
15,79.63017106149331,1.979008013524251,86,Intermediate,Intermediate,Math,Regular,1,2,2,Intermediate,26,Advanced,2,3
12,61.204671399221574,1.9934509213428746,57,Intermediate,Intermediate,English,Irregular,0,2,2,Advanced,-3,Beginner,3,1
14,109.70802458621816,3.324153896287939,50,Intermediate,Intermediate,Math,Regular,1,2,2,Advanced,-10,Advanced,3,3
9,132.85307868104422,0.6649016793348861,42,Advanced,Beginner,Math,Irregular,0,3,1,Advanced,-18,Advanced,3,3
9,79.3529409407968,1.8506308899306942,75,Advanced,Beginner,Science,Regular,1,3,1,Intermediate,15,Advanced,2,3
16,98.27597254481653,1.0651406995141373,86,Beginner,Advanced,Science,Irregular,0,1,3,Beginner,26,Advanced,1,3
12,116.18300773828028,0.336417881163803,51,Beginner,Advanced,Math,Regular,1,1,3,Intermediate,-9,Advanced,2,3
11,120.43268109109619,1.8822435570784999,99,Beginner,Intermediate,English,Irregular,0,1,2,Intermediate,54,Advanced,2,3
8,106.22195222214748,0.9391540477127536,50,Advanced,Intermediate,English,Regular,1,3,2,Advanced,-25,Beginner,3,1
12,111.2434032231787,0.19672627705953133,99,Beginner,Intermediate,English,Irregular,0,1,2,Beginner,54,Advanced,1,3
11,76.6441350807662,1.681134997697622,96,Beginner,Beginner,English,Regular,1,1,1,Beginner,66,Advanced,1,3
13,116.6448015880137,0.5576878404568995,91,Intermediate,Advanced,History,Irregular,0,2,3,Intermediate,16,Intermediate,2,2
13,90.86593428139705,1.6636720830183034,94,Advanced,Beginner,English,Regular,1,3,1,Advanced,34,Advanced,3,3
11,94.4254662908,6.140833721905594,43,Advanced,Advanced,English,Irregular,0,3,3,Advanced,-47,Intermediate,3,2
11,101.7179573870801,0.1740761464211171,70,Beginner,Beginner,English,Irregular,0,1,1,Beginner,40,Advanced,1,3
9,104.7831144323143,0.2968423522892825,78,Advanced,Advanced,History,Regular,1,3,3,Advanced,-12,Beginner,3,1
5,102.8757598459062,4.867563604657746,98,Beginner,Beginner,Math,Irregular,0,1,1,Beginner,68,Advanced,1,3
11,80.59612994254206,3.702371833929925,89,Advanced,Beginner,Science,Irregular,0,3,1,Advanced,29,Advanced,3,3
12,109.88586346655254,0.9411136149154997,68,Intermediate,Intermediate,History,Regular,1,2,2,Advanced,8,Advanced,3,3
16,77.9261664334569,0.7538549347708801,77,Advanced,Beginner,Math,Regular,1,3,1,Advanced,17,Advanced,3,3
11,75.76935582237775,0.38098003809069625,51,Intermediate,Advanced,Math,Regular,1,2,3,Advanced,-24,Beginner,3,1
13,111.47858056439934,0.46629321982936883,99,Beginner,Beginner,Math,Irregular,0,1,1,Beginner,69,Advanced,1,3
10,75.95023957750703,0.7005903269809235,57,Beginner,Intermediate,Math,Regular,1,1,2,Beginner,12,Advanced,1,3
16,94.01989601253128,1.784720773515319,46,Beginner,Beginner,English,Irregular,0,1,1,Beginner,16,Advanced,1,3
12,90.70847155055665,2.4904367050716707,78,Beginner,Intermediate,History,Irregular,0,1,2,Beginner,33,Advanced,1,3
13,88.02094038215652,0.3050204470739021,43,Intermediate,Intermediate,Math,Regular,1,2,2,Advanced,-17,Intermediate,3,2
10,122.61366844500124,3.5360778770071724,64,Advanced,Intermediate,Science,Irregular,0,3,2,Advanced,-11,Advanced,3,3
18,104.5177853537314,2.69930764205215,95,Intermediate,Intermediate,Science,Irregular,0,2,2,Intermediate,35,Advanced,2,3
15,102.25490741419662,0.18636491234633126,69,Intermediate,Intermediate,Science,Irregular,0,2,2,Intermediate,9,Beginner,2,1
8,111.46152178269577,0.4610976139819056,52,Advanced,Intermediate,Math,Regular,1,3,2,Advanced,-23,Advanced,3,3
8,127.04998582243876,2.3729572347022634,84,Beginner,Intermediate,English,Regular,1,1,2,Beginner,39,Advanced,1,3
18,113.55262610825858,2.9074261239189667,63,Advanced,Intermediate,Math,Regular,1,3,2,Advanced,-12,Advanced,3,3
3,91.89076993125552,2.576887923315792,58,Advanced,Advanced,History,Irregular,0,3,3,Advanced,-32,Beginner,3,1
14,97.07985862259179,3.7568851780704455,87,Intermediate,Intermediate,English,Regular,1,2,2,Intermediate,27,Advanced,2,3
13,102.83580254309382,1.0665515576470272,56,Advanced,Intermediate,Math,Regular,1,3,2,Advanced,-19,Advanced,3,3
6,82.58890256263923,0.18384208687502857,73,Advanced,Beginner,Science,Regular,1,3,1,Advanced,13,Advanced,3,3
7,95.4791034716712,1.3927132089442895,81,Intermediate,Advanced,Math,Regular,1,2,3,Intermediate,6,Advanced,2,3
14,102.5702312193456,0.14932239104515538,99,Intermediate,Intermediate,English,Regular,1,2,2,Beginner,39,Advanced,1,3
10,102.24975396690235,2.550415761866554,98,Beginner,Advanced,Science,Irregular,0,1,3,Beginner,38,Advanced,1,3
14,103.64070555482611,0.29257633635524855,66,Advanced,Intermediate,English,Irregular,0,3,2,Advanced,-9,Beginner,3,1
12,99.06461396693878,1.009287556598927,98,Advanced,Beginner,Science,Irregular,0,3,1,Advanced,38,Advanced,3,3
10,101.4902116736953,3.485596974148744,70,Intermediate,Intermediate,English,Regular,1,2,2,Intermediate,10,Advanced,2,3
15,95.51308189948517,0.643017182616635,70,Intermediate,Intermediate,Science,Regular,1,2,2,Intermediate,10,Advanced,2,3
9,130.81624609095832,1.8937286466833116,84,Advanced,Advanced,History,Regular,1,3,3,Advanced,-6,Advanced,3,3
10,79.49373134282503,0.3066961131731154,72,Beginner,Intermediate,History,Irregular,0,1,2,Intermediate,27,Beginner,2,1
9,87.44279829403676,1.6238906927197578,63,Advanced,Beginner,Science,Regular,1,3,1,Advanced,3,Advanced,3,3
8,107.66313148645068,2.621998089019262,82,Intermediate,Beginner,Math,Regular,1,2,1,Advanced,37,Advanced,3,3
10,73.83673902922554,0.9151596587273524,60,Intermediate,Intermediate,Science,Regular,1,2,2,Intermediate,0,Beginner,2,1
9,115.85630114097381,6.393617482730228,93,Intermediate,Advanced,Math,Regular,1,2,3,Intermediate,18,Advanced,2,3
10,111.82196314449736,2.2540412564632835,94,Advanced,Intermediate,Science,Regular,1,3,2,Advanced,19,Advanced,3,3
13,77.50758803215004,1.025132526366259,84,Beginner,Beginner,Math,Regular,1,1,1,Beginner,54,Advanced,1,3
6,105.35114671117184,2.2385062149390187,52,Intermediate,Advanced,Math,Regular,1,2,3,Beginner,-23,Intermediate,1,2
9,112.13867501543868,0.7371737667386751,56,Advanced,Advanced,Science,Regular,1,3,3,Advanced,-34,Beginner,3,1
11,108.20943588430714,3.5301534817098545,94,Advanced,Intermediate,Science,Irregular,0,3,2,Advanced,19,Advanced,3,3
9,96.45535037229395,0.10789834783706351,69,Beginner,Intermediate,Math,Irregular,0,1,2,Intermediate,24,Advanced,2,3
10,112.68425720928316,3.2399355237160865,53,Advanced,Advanced,History,Regular,1,3,3,Advanced,-37,Beginner,3,1
14,93.40464353400654,1.9882989912987692,95,Intermediate,Beginner,English,Irregular,0,2,1,Intermediate,50,Advanced,2,3
8,108.45964992404062,1.7198521154588629,86,Intermediate,Intermediate,Science,Regular,1,2,2,Intermediate,26,Advanced,2,3
10,76.8067799015167,0.15212576653993018,60,Advanced,Intermediate,Science,Regular,1,3,2,Advanced,-15,Beginner,3,1
14,126.06321389425791,2.5850764331655505,86,Intermediate,Advanced,Math,Regular,1,2,3,Advanced,11,Advanced,3,3
17,103.70458400691925,0.07040745364022248,69,Beginner,Advanced,Science,Irregular,0,1,3,Beginner,9,Beginner,1,1
10,98.18651110848357,1.5387961707591893,69,Advanced,Advanced,Math,Regular,1,3,3,Advanced,-21,Advanced,3,3
17,86.51438148322613,1.7840241350318065,67,Beginner,Advanced,English,Regular,1,1,3,Intermediate,7,Advanced,2,3
12,87.86430605107395,3.6200300374626764,76,Beginner,Intermediate,English,Irregular,0,1,2,Intermediate,31,Advanced,2,3
12,98.82457494981041,5.246626166989459,84,Advanced,Advanced,History,Regular,1,3,3,Advanced,-6,Advanced,3,3
15,93.3880030957203,2.476974022101047,71,Advanced,Advanced,Math,Irregular,0,3,3,Advanced,-19,Advanced,3,3
10,92.41196985969336,3.3828601783986687,87,Advanced,Advanced,Math,Irregular,0,3,3,Advanced,-3,Advanced,3,3
10,95.64762594455259,2.1948632198428193,46,Intermediate,Beginner,Math,Regular,1,2,1,Advanced,1,Advanced,3,3
18,103.53965937772023,3.253300461032323,57,Intermediate,Intermediate,English,Regular,1,2,2,Intermediate,-3,Advanced,2,3
14,88.93643646341751,0.1918375711579267,66,Advanced,Advanced,Math,Irregular,0,3,3,Advanced,-24,Beginner,3,1
12,97.00302071221675,0.8956023042373431,58,Intermediate,Intermediate,Math,Regular,1,2,2,Intermediate,-2,Advanced,2,3
15,101.42894265906065,0.6152159265488153,71,Intermediate,Intermediate,English,Regular,1,2,2,Advanced,11,Advanced,3,3
12,95.89628144057757,2.550772368575358,89,Beginner,Advanced,English,Irregular,0,1,3,Beginner,29,Advanced,1,3
10,106.05928567660725,0.8141262383919086,92,Advanced,Beginner,English,Irregular,0,3,1,Advanced,32,Advanced,3,3
11,103.52346497379504,0.07701470758489996,76,Advanced,Intermediate,English,Regular,1,3,2,Advanced,1,Advanced,3,3
12,104.48725050258238,1.0020405297402066,67,Beginner,Advanced,Science,Regular,1,1,3,Beginner,7,Intermediate,1,2
7,129.3476719752574,1.1074894298264892,79,Advanced,Beginner,History,Regular,1,3,1,Advanced,19,Advanced,3,3
8,77.60840957586743,2.174939777773675,74,Intermediate,Advanced,History,Regular,1,2,3,Advanced,-1,Intermediate,3,2
9,111.06686334553184,4.855989955583722,46,Beginner,Intermediate,Math,Regular,1,1,2,Intermediate,1,Advanced,2,3
10,90.35537411557726,0.13314028256398422,49,Intermediate,Beginner,History,Regular,1,2,1,Intermediate,4,Beginner,2,1
5,106.55099611309159,3.7033696336977435,44,Intermediate,Beginner,English,Irregular,0,2,1,Beginner,-1,Advanced,1,3
9,66.22943269415642,0.16720701041679603,81,Beginner,Advanced,Math,Irregular,0,1,3,Beginner,21,Intermediate,1,2
13,116.07901459938064,0.8557543402320476,44,Intermediate,Intermediate,Math,Regular,1,2,2,Advanced,-16,Advanced,3,3
10,118.53598592886712,2.835516110018894,59,Advanced,Intermediate,Science,Irregular,0,3,2,Advanced,-16,Advanced,3,3
11,111.52235614014043,0.30751645924907134,60,Beginner,Advanced,Math,Regular,1,1,3,Intermediate,0,Advanced,2,3
13,92.39153011079011,3.2360452682300727,48,Advanced,Intermediate,English,Regular,1,3,2,Advanced,-27,Intermediate,3,2
10,68.59356996905395,0.2610402442273727,46,Intermediate,Advanced,English,Irregular,0,2,3,Intermediate,-29,Beginner,2,1
14,79.607437919479,0.15443313930016295,74,Beginner,Intermediate,English,Regular,1,1,2,Beginner,29,Advanced,1,3
8,101.1515449646687,1.5568843706100968,64,Advanced,Advanced,English,Regular,1,3,3,Intermediate,-26,Beginner,2,1
15,76.06288214134139,2.852726791088589,40,Beginner,Beginner,History,Regular,1,1,1,Beginner,10,Intermediate,1,2
16,75.60384925157524,0.45390085932792945,66,Intermediate,Intermediate,English,Irregular,0,2,2,Beginner,6,Beginner,1,1
5,99.04235488744912,0.32884863835552297,95,Intermediate,Intermediate,Math,Irregular,0,2,2,Intermediate,35,Advanced,2,3
11,82.88913097747077,0.96713129957756,53,Intermediate,Beginner,Science,Regular,1,2,1,Intermediate,8,Advanced,2,3
10,107.96084238529,0.2668247220337727,61,Beginner,Beginner,History,Irregular,0,1,1,Intermediate,31,Advanced,2,3
15,95.73711477561699,1.667062929293932,98,Beginner,Advanced,Math,Regular,1,1,3,Beginner,38,Advanced,1,3
11,102.97273788690191,0.562592954229147,70,Intermediate,Beginner,Math,Regular,1,2,1,Advanced,25,Advanced,3,3
12,97.34084137765755,3.1998897176167804,44,Intermediate,Beginner,Science,Irregular,0,2,1,Intermediate,-1,Advanced,2,3
9,80.6571724597796,1.0189983253034924,92,Beginner,Advanced,History,Regular,1,1,3,Intermediate,32,Advanced,2,3
16,91.8714330990736,0.4721258087085213,62,Intermediate,Intermediate,History,Regular,1,2,2,Intermediate,2,Beginner,2,1
18,111.81224576666983,0.04376010945574949,81,Advanced,Intermediate,Math,Regular,1,3,2,Advanced,6,Advanced,3,3
10,96.37841130051366,0.6293533380929548,50,Advanced,Advanced,English,Regular,1,3,3,Intermediate,-40,Beginner,2,1
13,96.88091166340232,0.4705642061957074,53,Beginner,Intermediate,Science,Irregular,0,1,2,Intermediate,8,Beginner,2,1
10,98.26723580180088,1.8546357862767828,70,Beginner,Beginner,Math,Regular,1,1,1,Beginner,40,Advanced,1,3
12,90.17532691052845,1.7512586057674266,71,Beginner,Intermediate,Math,Regular,1,1,2,Beginner,26,Advanced,1,3
8,81.24781908990522,3.075998670517349,76,Advanced,Advanced,English,Irregular,0,3,3,Advanced,-14,Intermediate,3,2
14,69.36576480542277,0.6872339491648514,78,Intermediate,Beginner,Science,Irregular,0,2,1,Intermediate,33,Advanced,2,3
7,103.57155952612435,0.007800549867255168,83,Advanced,Beginner,Math,Regular,1,3,1,Advanced,23,Advanced,3,3
12,122.9747773145157,0.908685539482162,81,Intermediate,Beginner,History,Regular,1,2,1,Intermediate,36,Advanced,2,3
10,103.82037563851381,3.3928881567330107,43,Advanced,Advanced,History,Regular,1,3,3,Advanced,-47,Beginner,3,1
13,109.50274174438357,0.5417186877172586,60,Intermediate,Advanced,Science,Irregular,0,2,3,Intermediate,-15,Beginner,2,1
12,80.3284631711974,0.18674427987699974,97,Advanced,Intermediate,English,Irregular,0,3,2,Advanced,22,Advanced,3,3
14,112.14219393066224,1.0253730430122059,67,Intermediate,Beginner,English,Regular,1,2,1,Advanced,22,Advanced,3,3
13,122.03787463577788,0.8830048945977471,53,Intermediate,Advanced,Math,Irregular,0,2,3,Intermediate,-22,Intermediate,2,2
14,134.75799561267272,1.8558677830858308,58,Advanced,Advanced,Math,Irregular,0,3,3,Advanced,-32,Advanced,3,3
9,121.11907377367177,5.478122283671823,60,Intermediate,Beginner,History,Irregular,0,2,1,Intermediate,15,Advanced,2,3
10,100.92890396089666,3.436593228915812,52,Advanced,Beginner,History,Regular,1,3,1,Advanced,-8,Advanced,3,3
10,102.29716595022546,2.099620012699731,56,Advanced,Intermediate,Math,Regular,1,3,2,Advanced,-19,Advanced,3,3
9,100.55819724828982,2.531326764797751,77,Intermediate,Advanced,Math,Irregular,0,2,3,Advanced,2,Advanced,3,3
13,111.08378127526379,1.3527807287123328,69,Beginner,Beginner,Math,Regular,1,1,1,Beginner,39,Advanced,1,3
8,60.53194346709924,1.372845572167139,55,Intermediate,Intermediate,Math,Irregular,0,2,2,Intermediate,-5,Beginner,2,1
12,106.39271929691004,0.10019796611311854,79,Advanced,Intermediate,Science,Irregular,0,3,2,Advanced,4,Intermediate,3,2
